# statement name;function name;requires (list);produces (1);params (list);doc;method annot
load;load;;;file_or_dir;Loads the resources from the filesystem(s);
context_stats;context_stats;;;;Prints the informations about the current context;
# compute metas;--;--;--;--;--;
count_files;count_files;;files count;;Computes the counts of the files in each dir;
#TODO: count_dir_size;count_dir_size;;dirs size;;Computes the sizes of the dirs;
compute_custom_for_each_dir;compute_custom_for_each_dir;;;meta_name, computer;Computes given computer on each dir to produce the given meta;
compute_custom_for_each_file;compute_custom_for_each_file;;;meta_name, computer;Computes given computer on each file to produce the given meta;
#TODO: load_stats;load_stats;;stats;;Loads the filesystem files statistics;
# compute matches;--;--;--;--;--;
compute_files_matching_pattern;compute_files_matching_pattern;;files matching;pattern;Computes meta with files matching given pattern;
compute_files_matching_custom;compute_files_matching_custom;;files matching;matcher;Computes meta with files matching given matcher;
compute_dirs_matching_pattern;compute_dirs_matching_pattern;;dirs matching;pattern;Computes meta with dirs matching given pattern;
compute_dirs_matching_custom;compute_dirs_matching_custom;;dirs matching;matcher;Computes meta with dirs matching given matcher;
compute_files_of_dir_matching_pattern;compute_files_of_dir_matching_pattern;;files matching;pattern;Computes meta with files of each dir matching given pattern;
compute_files_of_dir_matching_custom;compute_files_of_dir_matching_custom;;files matching;matcher;Computes meta with files of each dir matching given matcher;
# compute groups;--;--;--;--;--;
group_files_by_names;group_files_by_names;;files names;;Groups files by names;
group_files_by_custom;group_files_by_custom;;;groupper, meta_name;Groups files by custom groupper;
group_dirs_by_names;group_dirs_by_names;;dirs names;;Groups dirs by names;
group_dirs_by_custom;group_dirs_by_custom;;;groupper, meta_name;Groups dirs by custom groupper;
#TODO group by name and size;--;--;--;--;Groups files by names and sizes;
# filter simply;--;--;--;--;--;
filter_dirs_matching_pattern;filter_dirs_matching_pattern;;;pattern;Filters dirs matching given pattern;
filter_dirs_matching_custom;filter_dirs_matching_custom;;;predicate;Filters dirs matching given predicate;
filter_dirs_by_meta;filter_dirs_by_meta;;;meta_name;Filters dirs matching given meta;
filter_files_matching_pattern;filter_files_matching_pattern;;;pattern;Filters files matching given pattern;
filter_files_matching_custom;filter_files_matching_custom;;;predicate;Filters files matching given predicate;
filter_files_by_meta;filter_files_by_meta;;;meta_name;Filters files matching given meta;
filter_dirs_with_files_matching_pattern;filter_dirs_with_files_matching_pattern;;;files_pattern,min_count;Filters dirs with having at least given number of files matching given pattern;
filter_dirs_with_files_matching_custom;filter_dirs_with_files_matching_custom;;;files_predicate,min_count;Filters dirs with having at least given number of files matching given predicate;
filter_dirs_with_files_matching_meta;filter_dirs_with_files_matching_meta;;;files_meta_name,min_count;Filters dirs with having at least given number of files matching given meta;
# filter duplicities by groupper;--;--;--;--;--;
filter_duplicate_dirs_by_name;filter_duplicate_dirs_by_name;dirs names;;;Filters duplicate dirs by name;
filter_duplicate_files_by_name;filter_duplicate_files_by_name;files names;;;Filters duplicate files by name;
filter_duplicate_dirs_by_custom_groupper;filter_duplicate_dirs_by_custom_groupper;;;groupper, meta_name;Filters duplicate dirs by given groupper;
filter_duplicate_files_by_custom_groupper;filter_duplicate_files_by_custom_groupper;;;groupper, meta_name;Filters duplicate files by given groupper;
filter_duplicate_dirs_with_common_files_by_name;filter_duplicate_dirs_with_common_files_by_name;files names;;;Filters duplicate dirs with common files by their name;
filter_duplicate_dirs_with_common_files_by_custom_groupper;filter_duplicate_dirs_with_common_files_by_custom_groupper;;;groupper, meta_name;Filters duplicate dirs with common files by their custom groupper;
# filter duplicities by comparer;--;--;--;--;--;
filter_duplicate_dirs_by_custom_comparer;filter_duplicate_dirs_by_custom_comparer;;;comparer;Filters duplicate dirs by custom comparer;
filter_duplicate_files_by_custom_comparer;filter_duplicate_files_by_custom_comparer;;;comparer;Filters duplicate files by custom comparer;
filter_duplicate_dirs_with_common_files_by_custom_comparer;filter_duplicate_dirs_with_common_files_by_custom_comparer;;;files_comparer;Filters duplicate dirs with common files by custom comparer;
# print;--;--;--;--;--;
print_dirs_simply;print_dirs_simply;;;;Prints dirs simply;
print_dirs_custom;print_dirs_custom;;;printer;Prints dirs by custom printer;
print_files_simply;print_files_simply;;;;Prints files simply;
print_files_custom;print_files_custom;;;printer;Prints files by custom printer;
